Y,X1,X2,X3,X4,X5,X6,X7
45015,59.7,54.3,65.6,97,-1.3,-1.8,-0.7
47163,59.7,55.3,64.4,138,-0.3,-1.1,0.4
48347,59.7,51.3,69,37,0,-1.1,1.1
51109,59.7,49.5,71.7,26,-0.9,-2,0.3
22029,59.6,46.6,75.4,15,-0.5,-1.8,0.9
28163,59.6,47.5,73.9,17,-0.4,-2.2,1.4
29179,59.6,40,87.1,6,0.1,-2.7,3
47169,59.6,39.2,87.4,6,-1.4,-4,1.3
13217,59.5,52.2,67.5,51,-0.8,-1.7,0.1
21209,59.5,49,71.5,24,-1.6,-3,-0.3
21143,59.5,42.2,83.2,8,-0.6,-2.8,1.6
22085,59.5,48.2,73,20,-0.9,-2,0.3
22011,59.5,48.9,71.8,23,-0.5,-1.5,0.4
26147,59.5,54.8,64.5,122,-0.3,-0.9,0.2
28029,59.5,48.3,72.7,20,-1,-2.3,0.3
37139,59.5,49.8,70.5,27,-0.3,-1.3,0.8
46019,59.5,42.1,82.3,8,0.1,-2.4,2.8
45089,59.4,49.4,70.9,26,-0.1,-1.4,1.2
1001,59.3,50.6,69.2,34,-1.5,-2.6,-0.3
5063,59.3,49.6,70.5,27,-3,-5.1,-0.9
13107,59.3,46.8,74.3,16,-0.8,-2.6,0.9
13305,59.3,47.9,72.6,19,-0.5,-2,1
26033,59.3,49.7,70.3,27,0.3,-0.8,1.4
29049,59.3,46.7,74.5,15,0,-1.4,1.5
30097,59.3,34.9,99.1,4,**,**,**
37005,59.3,44.5,78.6,11,0.1,-1.9,2.1
13081,59.2,47.1,73.5,17,-0.8,-2.8,1.2
16039,59.2,45.7,75.4,13,-0.9,-2.3,0.5
18059,59.2,51.6,67.7,45,0.2,-0.8,1.2
18005,59.2,52.2,66.9,53,0.2,-0.8,1.2
26117,59.2,51.5,67.6,44,-0.6,-1.7,0.5
37045,59.2,53.3,65.8,73,0.8,-0.1,1.6
37041,59.2,45.8,75.9,14,-0.3,-1.8,1.2
48267,59.2,37.4,92.8,5,-0.9,-3.1,1.4
48035,59.2,47.4,73.7,18,0,-1.2,1.2
51049,59.2,41.7,82,8,-1,-3.2,1.3
55077,59.2,46.3,75.4,15,1.2,-0.7,3.2
4015,59.1,55.6,62.9,216,-3.2,-5.2,-1.3
13021,59.1,53.9,64.7,99,-0.7,-1.2,-0.2
18135,59.1,48.2,71.9,21,0.1,-1.2,1.4
26059,59.1,50.6,68.7,36,-0.3,-1.4,0.8
31029,59.1,34.7,97.1,4,0.5,-2.3,3.3
36023,59.1,50.2,69.1,32,-0.4,-1.5,0.7
37013,59.1,51.2,68.1,41,-1.1,-2.2,0
48483,59.1,36.6,91.5,4,0,-3.3,3.4
51155,59.1,49.8,69.8,30,-0.4,-1.5,0.6
2280,59,35.3,93.3,4,**,**,**
5079,59,42.8,79.5,9,-0.3,-2.3,1.7
13045,59,52.5,66.1,62,-0.5,-1.2,0.2
20037,59,49.2,70.3,26,-0.3,-1.6,0.9
21215,59,43,78.9,10,-1.9,-4.3,0.6
26155,59,51.8,66.9,51,0.2,-0.9,1.3
50011,59,49.6,69.6,29,0,-1.3,1.3
26025,58.9,53.8,64.5,99,-0.1,-0.8,0.7
26129,58.9,48,72,22,-0.8,-2.2,0.7
26159,58.9,51.9,66.6,53,-0.3,-1.4,0.8
29061,58.9,40.5,83.6,7,-0.9,-2.9,1.1
37069,58.9,50.8,67.9,40,-0.5,-1.5,0.4
41041,58.9,51.4,67.4,47,-1.1,-1.9,-0.3
48353,58.9,44.5,76.9,11,0.2,-1.5,2
12033,58.8,55.3,62.5,211,-1.2,-1.6,-0.7
22005,58.8,51.5,66.8,51,-0.7,-1.6,0.2
22089,58.8,49.3,69.6,29,-5.4,-15.1,5.4
26013,58.8,40.4,83.5,7,-1,-2.8,0.8
36097,58.8,46.3,74.1,15,-1.3,-2.7,0.1
47015,58.8,43.7,77.7,10,-1.2,-3.3,1
48067,58.8,49.2,70,27,-0.7,-1.6,0.3
48133,58.8,46.6,73.7,16,-0.5,-1.9,0.9
48147,58.8,49.3,69.8,27,-0.8,-2.2,0.6
31021,58.7,39.2,86.4,6,1.7,-1,4.4
39081,58.7,52.1,66,59,-1.3,-2.2,-0.5
40147,58.7,51,67.5,42,0.3,-0.6,1.2
48037,58.7,52.3,65.6,63,-1.1,-1.8,-0.3
5003,58.6,46.7,72.9,17,-1.5,-2.9,0
8099,58.6,42.1,79.6,9,-0.9,-3.1,1.4
13279,58.6,46.9,72.3,18,-2.1,-3.8,-0.5
18101,58.6,41.5,81,8,0.3,-1.3,1.8
18035,58.6,53,64.8,80,-9.6,-19.2,1.1
19057,58.6,49.9,68.5,33,0.6,-0.7,1.8
22107,58.6,35.4,92.9,4,0,-2.5,2.5
28111,58.6,41.9,80,8,0.4,-1.9,2.8
29127,58.6,48,71,22,-0.1,-1.5,1.3
40065,58.6,46.6,72.9,17,-6.3,-14.5,2.7
45055,58.6,51.1,67,46,-1.2,-2.3,0
1111,58.5,46.8,72.4,18,1.2,-0.4,2.8
5087,58.5,44.1,76.4,12,-0.6,-2.4,1.3
12019,58.5,53.7,63.6,117,-1.6,-2.4,-0.8
17119,58.5,54.8,62.4,186,-0.5,-1.1,0
18077,58.5,48.2,70.5,23,0.5,-0.9,1.9
21063,58.5,39.2,84.9,6,-1.7,-4.6,1.2
28033,58.5,52.9,64.5,85,-1.4,-2.2,-0.6
29093,58.5,42.5,79.3,9,-1.6,-3.3,0.1
37193,58.5,51.8,65.9,57,0.4,-0.6,1.3
37159,58.5,53.4,64,98,0,-0.5,0.5
39017,58.5,55.1,62.1,221,-2,-3.2,-0.7
45051,58.5,55,62.2,219,-0.8,-1.2,-0.3
48335,58.5,39.3,84,6,-2.1,-4.4,0.1
18021,58.4,47.3,71.4,20,-1.2,-2.9,0.5
19039,58.4,40.7,81.8,7,1.1,-1.8,4
22003,58.4,46.1,73,16,-1.4,-3.4,0.7
26121,58.4,53.7,63.4,118,-0.1,-0.8,0.6
29057,58.4,40.4,83.3,7,0.4,-2.1,3
36083,58.4,53.5,63.7,109,-0.7,-1.3,-0.1
37155,58.4,52.6,64.6,79,-0.3,-1.2,0.6
37101,58.4,53.1,64.2,94,-1.4,-2.3,-0.5
48363,58.4,47.8,70.7,22,-1.7,-2.9,-0.4
1057,58.3,45.2,74.5,14,-0.7,-2.2,0.9
2050,58.3,36.6,86.8,5,**,**,**
28099,58.3,47,71.5,19,-1.2,-5.1,2.9
40117,58.3,44.9,74.8,13,2.7,-4,9.8
42101,58.3,56.6,60.1,903,-2,-2.4,-1.7
5137,58.2,44,76.5,12,-0.8,-2.7,1.1
13087,58.2,46.9,71.6,19,-1.2,-2.6,0.3
36037,58.2,50.8,66.5,45,-0.7,-1.4,0.1
37191,58.2,52.5,64.2,79,-0.9,-1.7,-0.2
40031,58.2,51.9,65,63,-0.4,-1.2,0.5
47033,58.2,43.8,76.3,11,-1.1,-2.7,0.6
20043,58.1,38.1,85.3,6,-0.1,-2.6,2.4
22019,58.1,53.5,63,121,-1.5,-2.1,-0.9
28159,58.1,45.4,73.6,15,0.3,-1.9,2.5
29005,58.1,38.1,87.3,6,1.3,-1.5,4.2
37111,58.1,49.6,67.6,35,-0.1,-1,0.7
48099,58.1,48.7,68.7,28,-2.8,-4.3,-1.3
37127,58,51.8,64.7,68,-0.4,-1.1,0.3
18125,57.9,43.1,76.8,10,0.3,-1.5,2.1
23025,57.9,50.1,66.7,41,-1.1,-2.1,-0.1
37113,57.9,49.3,67.8,35,0.6,-0.5,1.7
39065,57.9,47.2,70.4,21,0.1,-1.2,1.3
45021,57.9,49.8,67,38,-2.4,-5.1,0.4
48499,57.9,50.4,66.6,44,-0.8,-2.2,0.6
48293,57.9,46.2,71.8,17,-2.4,-3.6,-1.2
54065,57.9,45.5,73.3,15,0.5,-1.4,2.4
55031,57.9,49,68,31,-0.4,-1.5,0.7
1065,57.8,43.6,75.5,11,-0.5,-2.5,1.5
5113,57.8,46.5,71.5,18,-0.5,-1.7,0.7
18137,57.8,47,70.5,20,-5.2,-8.5,-1.6
26073,57.8,49.2,67.4,33,0.3,-1,1.5
29203,57.8,40.3,81.7,7,-1.5,-3.5,0.5
40041,57.8,49.6,67.2,37,-1.6,-2.9,-0.3
48351,57.8,43.5,75.9,11,-1,-3,1
13317,57.7,41.5,78.8,9,0.1,-1.9,2.2
17201,57.7,54.1,61.5,198,-0.1,-0.7,0.5
18075,57.7,45.3,72.6,15,1.3,-0.1,2.6
26163,57.7,56.2,59.3,1136,-0.8,-1,-0.5
39135,57.7,48.8,67.9,31,-0.1,-1.4,1.2
48475,57.7,40.3,80.3,7,-1.6,-3.3,0.2
51111,57.7,43.1,76.4,11,0.7,-1.6,3
13189,57.6,44.8,73,14,-0.3,-2.3,1.7
36041,57.6,37.4,89.7,5,0.2,-2.3,2.7
39067,57.6,44.6,73.7,14,-0.9,-2.7,0.9
45001,57.6,46.7,70.4,20,0.4,-0.9,1.8
46087,57.6,36.6,88.1,5,**,**,**
48459,57.6,48.5,68,29,-0.7,-1.9,0.6
48023,57.6,33.9,95.7,4,**,**,**
48089,57.6,46,71.7,18,3.5,0.3,6.8
1107,57.5,45.4,72.1,16,0.3,-1.4,2.1
5141,57.5,45.8,72,17,-1.1,-2.7,0.5
22083,57.5,44.7,72.9,14,-1.4,-3.1,0.5
48467,57.5,49.9,66,42,-0.2,-1.2,0.7
17069,57.4,34.7,92.9,4,-33.4,-60.9,13.3
28147,57.4,43.4,75,11,0,-1.8,1.9
12101,57.3,54.8,59.8,422,-0.7,-1.1,-0.3
12089,57.3,50.7,64.7,57,-1.6,-2.6,-0.5
23011,57.3,52.1,62.9,91,-1.2,-2,-0.3
28007,57.3,45.1,72.2,15,0.8,-1.2,2.8
42035,57.3,48.3,67.6,29,-0.2,-1.1,0.7
46053,57.3,33.9,94,4,0.8,-1.3,3
47007,57.3,42.2,76.6,10,-2.1,-3.9,-0.3
47075,57.3,43.9,73.7,13,-0.5,-1.9,0.9
51700,57.3,52.2,62.8,94,-1,-1.6,-0.3
51760,57.3,52.7,62.4,115,-5.2,-8.9,-1.4
13289,57.2,39.9,80.7,7,-0.8,-2.9,1.2
18163,57.2,52.7,62,122,-1.2,-1.8,-0.5
19153,57.2,53.9,60.6,233,-0.7,-1.2,-0.3
37039,57.2,47.8,68.4,28,-1.1,-2.6,0.4
48179,57.2,45.3,71.3,16,-0.9,-2.2,0.5
50005,57.2,47,69.1,23,-0.1,-1.5,1.4
1081,57.1,51,63.7,66,0.9,-0.2,2
12091,57.1,52.6,61.9,121,-1.7,-2.2,-1.1
17073,57.1,49.3,65.8,40,0.4,-0.7,1.4
17187,57.1,44.1,73.1,13,0.2,-1.7,2.1
